Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",8200 S CLYDE AVENUE BLDG,CHICAGO,IL,60617,Peoples,060435S805-00006,Choice
"Pangea Ventures, LLC",5556 W JACISON BLVD BLDG,CHICAGO,IL,60644,Peoples,0609142657-00051,Choice
"Pangea Ventures, LLC",5958 W SUPIRIOR BLDG,CHICAGO,IL,60644,Peoples,0606649634-00001,Choice
"Pangea Ventures, LLC",7643 S STEWART AVE BLDG,CHICAGO,IL,60620,Peoples,0610877223-02980,Choice
"Pangea Ventures, LLC",12000 S EGGLESTON BLDG,CHICAGO,IL,60628,Peoples,0610877223-01347,Choice
"Pangea Ventures, LLC",77545 LOOMS BLVD BLDG,CHICAGO,IL,60620,Peoples,0610877223-01077,Choice
"Pangea Ventures, LLC",5402 W RICEST BLDG,CHICAGO,IL,60651,Peoples,0610877223-00533,Choice
"Pangea Ventures, LLC",5314 W WASHINGTON BLVD BLDG,CHICAGO,IL,60644,Peoples,0610877223-02971,Choice
"Pangea Ventures, LLC",7825 S EMERALD AVE BLDG,CHICAGO,IL,60620,Peoples,0610877223-00526,Choice
"Pangea Ventures, LLC",5046 S CHAMPLAIN AVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-02172,Choice
"Pangea Ventures, LLC",8143 S KINGSTON BLDG,CHICAGO,IL,60649,Peoples,0608299543-00019,Choice
"Pangea Ventures, LLC",610 E S0TH BLDG,CHICAGO,IL,60615,Peoples,0610877223-02230,Choice
"Pangea Ventures, LLC",6921 S CORNELL AVE BLDG,CHICAGO,IL,60649,Peoples,0609142657-00901,Choice
"Pangea Ventures, LLC",7823 S EUCLD BLDG,CHICAGO,IL,60649,Peoples,0610877223-02055,Choice
"Pangea Ventures, LLC",5023 S CHAMPLAIN AVE BLDG,CHICAGO,IL,60615,Peoples,0610877223-02217,Choice
"Pangea Ventures, LLC",1448 E 74TH BLDG,CHICAGO,IL,60621,Peoples,0608299543-00002,Choice
"Pangea Ventures, LLC",808 W 76TH ST BLDG,CHICAGO,IL,60620,Peoples,0608299543-00003,Choice
"Pangea Ventures, LLC",7701 S ASLAND AVE BLDG,CHICAGO,IL,60620,Peoples,0613390967-00001,Choice
"Pangea Ventures, LLC",7949 S WINCHESTER AVE BLDG,CHICAGO,IL,60620,Peoples,0601355462-00001,Choice
"Pangea Ventures, LLC",5011 W MA YPOLE AVE BLDG,CHICAGO,IL,60644,Peoples,0600667672-00017,Choice
"Pangea Ventures, LLC",5149 W WEST END AVE BLDG,CHICAGO,IL,60644,Peoples,0609142657-00774,Choice
"Pangea Ventures, LLC",11932 S STEWART AVE BLDG,CHICAGO,IL,60628,Peoples,0610877223-00298,Choice
"Pangea Ventures, LLC",8210 S. DREXEL AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-04332,Choice
"Pangea Ventures, LLC",1117 N LAWLER BLDG,CHICAGO,IL,60651,Peoples,0610877223-02888,Choice
"Pangea Ventures, LLC",1145 N LECLAIRE AVE BLDG,CHICAGO,IL,60651,Peoples,0610877223-02597,Choice
"Pangea Ventures, LLC",614 E 51ST ST BLDG,CHICAGO,IL,60615,Peoples,0610877223-02180,Choice
"Pangea Ventures, LLC",1448 W B3RUST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02620,Choice
"Pangea Ventures, LLC",7917 S DREXEL AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02583,Choice
"Pangea Ventures, LLC",7756 S MARSHFIELD AVE BLDG,CHICAGO,IL,60620,Peoples,0608299543-00025,Choice
"Pangea Ventures, LLC",5952 W SUPIRIOR ST BLDG,CHICAGO,IL,60644,Peoples,0610877223-02617,Choice
"Pangea Ventures, LLC",1115 S KARLOV BLDG,CHICAGO,IL,60624,Peoples,0610877223-00460,Choice
"Pangea Ventures, LLC",5236 W HARRISON ST BLDG,CHICAGO,IL,60644,Peoples,0610877223-02964,Choice
"Pangea Ventures, LLC",7354 S KINGDR BLDG,CHICAGO,IL,60619,Peoples,0608299543-00023,Choice
