,Generation \& Transmission Charges for Oct 26-Nov 24 Gross Receipts Tax,5.94
,State Sales Tax,6.03
,ENERGY CHARGE: 1021@.0088 PER KWH,9.00
,ENERGY CHARGE: 1021@-.0119 PER KWH,$-12.14$
,ENERGY CHARGE: 1021@.0007 PER KWH,0.67
,ENERGY CHARGE: 38@.0168 PER KWH,0.63
,ENERGY CHARGE: 57@.061 PER KWH,3.49
,ENERGY CHARGE: 1021@.0718 PER KWH,73.31
,ENERGY CHARGE: 1078@.0001 PER KWH,0.12
,ENERGY CHARGE: 1021@.0031 PER KWH,3.21
,ENERGY CHARGE: 1078@.0006 PER KWH,0.63
,CAPACITY CHARGE,5.64
,TRANSMISSION CHARGE,10.15
,Total Freepoint Energy Solutions LLC Charges,\$106.68
