Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"18,100 kW x \$5.302762"
The highest Measured Demand in any time period in the current month.,\$95.98
Summer Demand 18.100 kW x \$10.038122,\$181.69
The Measured Demand (excluding off-peak) in each billing month of June through September.,
"kWh charges 5,941 kWh x \$0.011146",\$66.22
"Societal Benefits 5,941 kWh x \$0.010412",\$61.86
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,$\$ 410.79$
Supply charges,
BGS Capacity,
Generation 17.661 kW x \$1.741125,$\$ 30.75$
Transmission 15.953 kW x \$13.293424,\$212.07
Cost of electric supplied by PSE\&G:,
Charges,
"For the first 1,782 kWh x \$0.073249",\$130.53
"For the next 4,159 kWh x \$0.064564",\$268.52
Total electric supply charges,$\$ 641.87$
Total electric charges,"$\$ 1,052.66$"
