CUSTOMER DISCLOSURE STATEMENT,
Price,[Fixed Price of $\$ 0.06884 / \mathrm{kWh}$ ]
Bill Type,Consolidated Bill
How Price is Determined,"Fixed Price includes the components as described in the table below. The Fixed Price does not include any applicable taxes (other than the gross-receipts tax, if applicable), which shall be passed-through to the customer. Components listed as ""pass through"" in the table below shall be billed using market-based prices or estimates thereof."
COMPONENT,Treatment
Energy,Fixed
Unforced Capacity,Fixed
Ancillary Services,Fixed
"Transmission (Network Integration Transmission Service, TECs)",Fixed
Clean Energy - Mandatory RECs (Not applicable),Not Applicable
Auction Revenue Rights Credits,Fixed
Renewable Energy - voluntary,Not Selected
