Generation - Off Peak - Summer,282.000000,kWh,@ \$0.11810,\$33.30
Generation - Off Peak - Winter,509.000000,kWh,@ \$0.14507,73.84
Generation - On Peak - Winter,49.000000,kWh,@ \$0.17767,8.71
Generation - On Peak - Summer,24.000000,kWh,@ \$0.21565,5.18
,,Net Charges,121.03,
Local Utility Users Tax,,,,6.05
Energy Commission Surcharge,,,,0.26
Your NEM Balance Owed is $\$ 0.00$.,,,,
Your cumulative kWh relevant period year-to-date: 5427 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
