Generation - Off Peak - Winter,-140.000000,kWh,@ \$0.12542,- $\$ 17.56$
Generation - Off Peak - Summer,-108.000000,kWh,@ \$0.12816,-13.84
Generation - On Peak - Winter,30.000000,kWh,@ \$0.15209,4.56
Generation - On Peak - Summer,12.000000,kWh,@ \$0.21116,2.53
,,Net Charges,-24.31,
Local Utility Users Tax,,,,0.00
Energy Commission Surcharge,,,,0.00
Credited to NEM Balance,,,,24.31
Your NEM Credit balance is $\$ 363.69$.,,,,
Your cumulative kWh relevant period year-to-date: -2671 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
