,March,"2,569",September,861
,April,"1,752",October,"1,294"
,May,"1,435",November,"1,956"
,June,896,December,"2,971"
,July,852,January,"3,303"
,August,871,February,"2,660"
Tax Exemption,\{__Non-exempt,\{__ Exempt,"If exempt, must attach certif",
Purchase Price,Fixed Price: $\$ 3.489 /$ Dth,,,
Special Provisions,"Change in Utility Account Numbers: <br> The account number for a Service Location shall be the Utility Account Number set forth in the Service Locations section above or as attached, as applicable, or any replacement account number issued by the Utility from time to time. <br> Buyer acknowledges that it is acting for its own account, and that it has made its own independent decisions with respect to this Transaction Confirmation and that Seller is not acting as a fiduciary, financial, investment or commodity trading advisor for it in connection with the negotiation and execution of this Transaction. <br> Full Plant Requirement - No GSA <br> Fixed Price: The Purchase Price for the Contract Quantity, unless otherwise specified in this Transaction Confirmation is $\$ 3.489 /$ Dth. <br> Buyer may rescind the contract within ten (10) calendar days from Utility receipt of the enrollment request from the Alternative Gas Supplier (AGS) by contacting the AGS directly at (888) 925-9115",,,
PLEASE SIGN AND RETURN THIS TRANSACTION CONFIRMATION LETTER BY FACSIMILE TO,,,,
BUYER: CO,,,"SELLER: Direct Energy Business Marketing, LLC d/b/a Direct Energy Business",
Print Name,,,By:,
Title,,,Print Name:,
Date,,,Title:,
Date:,,,Date:,
