Customer Service,1-866-DOM-HELP (1-866-366-4357)
Previous Balance,446.07
Payment Received,446.07 CR
Balance Forward,0.00
Non-Residential Service (Schedule GS-1) 05/07-06/07,
Distribution Service,
Basic Customer Charge,14.54
Distribution Service kWh,65.66
Electricity Supply Svc (ESS),
Generation,246.02
Transmission,41.32
Fuel,124.28
Sales and Use Surcharge,2.44
State/Local Consumption Tax,5.84
CHESAPEAKE Utility Tax,81.58
Base Rate Case Credit,105.28 CR
Total Current Charges,476.40
Total Account Balance,476.40
