Generation - Off Peak - Winter,204.000000,kWh,@ \$0.12629,\$25.76
Generation - Off Peak - Summer,65.000000,kWh,@ \$0.12771,8.30
Generation - On Peak - Winter,126.000000,kWh,@ \$0.14340,18.07
Generation - Part Peak - Summer,14.000000,kWh,@ \$0.14978,2.10
Generation - On Peak - Summer,59.000000,kWh,@ \$0.20200,11.92
,,Net Charges,66.15,
Local Utility Users Tax,,,,3.31
Energy Commission Surcharge,,,,0.14
Your NEM Balance Owed is $\$ 0.00$.,,,,
Your cumulative kWh relevant period year-to-date: 352 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
