Generation - Off Peak - Winter,142.000000,kWh,(1) \$0.12629,\$17.93
Generation - Off Peak - Summer,29.000000,kWh,(1) \$0.12771,3.70
Generation - On Peak - Winter,155.000000,kWh,(1) \$0.14340,22.23
Generation - Part Peak - Summer,14.000000,kWh,(1) \$0.14978,2.10
Generation - On Peak - Summer,80.000000,kWh,(1) $\$ 0.20200$,16.16
,,Net Charges,62.12,
Local Utility Users Tax,,,,3.11
Energy Commission Surcharge,,,,0.13
Your NEM Balance Owed is $\$ 0.00$.,,,,
Your cumulative kWh relevant period year-to-date: 619 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
