Generation - Off Peak - Winter,816.000000,kWh,@ \$0.12629,\$103.05
Generation - Off Peak - Summer,349.000000,kWh,@ \$0.12771,44.57
Generation - On Peak - Winter,152.000000,kWh,@ \$0.14340,21.80
Generation - Part Peak - Summer,74.000000,kWh,@ \$0.14978,11.08
Generation - On Peak - Summer,68.000000,kWh,@ \$0.20200,13.74
,,Net Charges,194.24,
Local Utility Users Tax,,,,9.71
Energy Commission Surcharge,,,,0.44
Your NEM Credit balance is $\$ 0.00$.,,,,
Your cumulative kWh relevant period year-to-date: 7975 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
