Service For: 4500 THE WOODS DR BLDG 12,Meter Number,Usage,Amount
Service Agreement ID: 5433685172,,,
PG\&E Electric Delivery Charges,1009113729,228.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5432093914,,,
SAN JOSE CLEAN ENERGY Electric Generation,,228.000000 kWh,$\$ 0.00$
Total,,,$-\$ 44.62$
Service For: 4500 THE WOODS DR BLDG 11,,,
Service Agreement ID: 5438209940,,,
PG\&E Electric Delivery Charges,1009113707,236.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5431528948,,,
SAN JOSE CLEAN ENERGY Electric Generation,,236.000000 kWh,$\$ 0.00$
Total,,,$-\$ 44.62$
Service For: 4500 THE WOODS DR BLDG 9,,,
Service Agreement ID: 5432590956,,,
PG\&E Electric Delivery Charges,1009114184,252.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5439639982,,,
SAN JOSE CLEAN ENERGY Electric Generation,,252.000000 kWh,$\$ 0.00$
Total,,,$-\$ 44.62$
Service For: 4500 THE WOODS DR BLDG 13,,,
Service Agreement ID: 5435176638,,,
PG\&E Electric Delivery Charges,1009114107,586.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5438497768,,,
SAN JOSE CLEAN ENERGY Electric Generation,,586.000000 kWh,$\$ 80.31$
Total,,,$\$ 35.69$
Service For: 4500 THE WOODS DR BLDG 17,,,
Service Agreement ID: 5436598005,,,
PG\&E Electric Delivery Charges,1009177666,"1,282.000000 kWh",$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5434491156,,,
SAN JOSE CLEAN ENERGY Electric Generation,,"1,282.000000 kWh",$\$ 180.76$
Total,,,$\$ 136.14$
Service For: 4500 THE WOODS DR BLDG 27,,,
Service Agreement ID: 5430211015,,,
PG\&E Electric Delivery Charges,1009116265,911.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
