,Meter Number,Usage,Amount
Service Agreement ID: 5438724129,,,
SAN JOSE CLEAN ENERGY Electric Generation,,723.000000 kWh,$\$ 100.79$
Total,,,\$56.17
Service For: 4500 THE WOODS DR BLDG 4,,,
Service Agreement ID: 5433691285,,,
PG\&E Electric Delivery Charges,1009115929,218.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5434232962,,,
SAN JOSE CLEAN ENERGY Electric Generation,,218.000000 kWh,$\$ 30.49$
Total,,,- $\$ 14.13$
Service For: 4500 THE WOODS DR BLDG 1,,,
Service Agreement ID: 5431360545,,,
PG\&E Electric Delivery Charges,1007269359,122.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5436119095,,,
SAN JOSE CLEAN ENERGY Electric Generation,,122.000000 kWh,$\$ 17.98$
Total,,,- $\$ 26.64$
Service For: 4500 THE WOODS DR BLDG 25,,,
Service Agreement ID: 5439995692,,,
PG\&E Electric Delivery Charges,1010003399,468.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5435284777,,,
SAN JOSE CLEAN ENERGY Electric Generation,,468.000000 kWh,$\$ 69.60$
Total,,,\$24.98
Service For: 4500 THE WOODS DR BLDG 24,,,
Service Agreement ID: 5436956568,,,
PG\&E Electric Delivery Charges,1009116309,711.000000 kWh,$\$ 10.72$
Service Agreement ID: 5434086306,,,
SAN JOSE CLEAN ENERGY Electric Generation,,711.000000 kWh,$\$ 99.77$
Total,,,\$110.49
Service For: 4500 THE WOODS DR BLDG 23,,,
Service Agreement ID: 5436252835,,,
PG\&E Electric Delivery Charges,1009115342,497.000000 kWh,$\$ 10.72$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 5430214567,,,
SAN JOSE CLEAN ENERGY Electric Generation,,497.000000 kWh,$\$ 68.45$
Total,,,\$23.83
