Atty Genl consultant exp adj,12383.00kWh X $\$ 0.00002$,$\$ 0.25$
Storm recovery adjustment,12383.00kWh X $\$ 0.00218$,$\$ 26.99$
Exogenous Cost Adjustment,12383.00kWh X $\$ 0.00070$,$\$ 8.67$
Revenue Decoupling Adj,12383.00kWh X $\$ 0.00212$,$\$ 26.25$
Lng-Trm Rnwbl Contr Adj,12383.00kWh X $\$$-0.00306$,$-\$ 37.89$
Vegetation Management,12383.00kWh X $\$ 0.00089$,$\$ 11.02$
Solar Expansion Charge,12383.00kWh X $\$-0.00027$,$-\$ 3.34$
Grid Modernization Charge,12383.00kWh X $\$ 0.00130$,$\$ 16.10$
Tax Act Credit,12383.00kWh X $\$-0.00113$,$-\$ 13.99$
Distributed Solar Charge,12383.00kWh X $\$ 0.00327$,$\$ 40.49$
Advanced Meter Infrastructure,12383.00kWh X $\$ 0.00222$,$\$ 27.49$
Subtotal Delivery Services,,"$\$ 1,193.34$"
Total Cost of Electricity,,"$\$ 2,512.13$"
