Details of Gas Charges,,
11/23/2022 - 12/22/2022 (30 billing days),,
Service For: 10100 TORRE AVE,,
Service Agreement ID: 6292411005 HSE MTR 106 UNITS,,
Rate Schedule: GM XW Master-Metered Multi-Family Service,,
Number of Dwelling Units: 106,,
11/23/2022 - 11/30/2022,,
Tier 1 Allowance,364.84000 Therm,
Tier 1 Usage,364.640000 Therm,$\$ 838.93$
Tier 2 Usage,67.360000 Therm,186.50
Gas PPP Surcharge (\$0.10346 /Therm),,44.70
Cupertino Utility Users' Tax (2.400\%),,24.61
12/01/2022 - 12/22/2022,,
Tier 1 Allowance,"1,002.76000 Therm",
Tier 1 Usage,"1,002.760000 Therm","$\$ 2,34123$"
Tier 2 Usage,185.240000 Therm,$\$ 20.38$
Gas PPP Surcharge (\$0.10346 /Therm),,122.92
Cupertino Utility Users' Tax (2.400\%),,68.83
