Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"28,000 kW x \$5.302857"
The highest Measured Demand in any time period in the current month.,\$148.48
"Summer Demand 28,000 kW x \$10.037857",\$281.06
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"7,924 kWh x \$0.011147"
Societal Benefits,"7,924 kWh x \$0.010413"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",\$88.33
Total electric delivery charges,$\$ 605.42$
Supply charges,
BGS Capacity,
"Generation 13,658 kW x \$1.741104",\$23.78
"Transmission 12,337 kW x \$13.294156",\$164.01
Cost of electric supplied by PSE\&G:,
Charges,
"For the first 2,377 kWh x \$0.073248",\$174.11
"For the next 5,547 kWh x \$0.064563",\$358.13
Total electric supply charges,\$720.03
Total electric charges,"\$1,325.45"
