Generation - Off Peak - Winter,45.000000,kWh,(1) \$0.12629,\$5.68
Generation - Off Peak - Summer,0.000000,kWh,(1) \$0.12771,0.00
Generation - On Peak - Winter,107.000000,kWh,(1) $\$ 0.14340$,15.34
Generation - Part Peak - Summer,$-38.000000$,kWh,(1) $\$ 0.14978$,$-5.69$
Generation - On Peak - Summer,38.000000,kWh,(1) $\$ 0.20200$,7.68
,,Net Charges,23.01,
Local Utility Users Tax,,,,1.15
Energy Commission Surcharge,,,,0.05
Charged to NEM Balance,,,,$-24.21$
Your NEM Credit balance is $\$ 387.87$.,,,,
Your cumulative kWh relevant period year-to-date: -2835 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
