Generation - Off Peak - Winter,417.000000,kWh,(1) \$0.12629,\$52.66
Generation - Off Peak - Summer,120.000000,kWh,(1) \$0.12771,15.33
Generation - On Peak - Winter,203.000000,kWh,(1) $\$ 0.14340$,29.11
Generation - Part Peak - Summer,16.000000,kWh,(1) $\$ 0.14978$,2.40
Generation - On Peak - Summer,90.000000,kWh,(1) $\$ 0.20200$,18.18
,,Net Charges,117.68,
Local Utility Users Tax,,,,5.88
Energy Commission Surcharge,,,,0.25
Your NEM Credit balance is $\$ 0.00$.,,,,
Your cumulative kWh relevant period year-to-date: 1620 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
