Monthly service charge,$\$ 370.81$
Charges for delivering electric to you:,
Annual Demand 960.700 kW x \$4.943198,"$\$ 4,748.93$"
The highest Measured Demand in any time period in the current month.,
Summer Demand 960.700 kW x \$9.149703,"$\$ 8,790.12$"
The Measured Demand (excluding off-peak) in each billing month of June through September.,
"kWh - On-peak 209,882 kWh x \$0.008558","\$1,796.17"
"Energy consumed between 8am-10pm, Monday to Friday.",
"kWh - Off-peak 266,057 kWh x \$0.008558","$\$ 2,276.92$"
Energy consumed outside peak hours.,
"Societal Benefits 475,939 kWh x \$0.010413","$\$ 4,955.95$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,"$\$ 22,938.90$"
Supply charges,
BGS Capacity,
"Generation 983,921 kW x \$10.733199","\$10,560.62"
"Transmission 870,090 kW x \$13.284499","\$11,558.71"
Cost of electric supplied by PSE\&G:,
"Charges 475,939 kWh x \$0.044203","\$21,037.90"
Total electric supply charges,"$\$ 43,157.23$"
