,"DIRECT ENERGY BUSINESS, LLC",
,"1001 Liberty Avenue Pittsburgh, PA 15222",Product Code: NY_CI_FPR_100MAC_NY
,1.888 .925 .9115,
,www.directenergy.com,
CUSTOMER INFORMATION,,
Customer Name: MICHAEL MARANDA LLC,,Billing Contact:
Contact Name: Mike Maranda,,3rd Party Bill Pay:
"Address: 2140 County Route 1 Elec, Oswego, NY 13126",,Billing Address:
Telephone: 516-692-8505,,Telephone:
Fax:,Fax:,
Email:,,Email:
,"DIRECT ENERGY BUSINESS, LLC",
,"1001 Liberty Avenue Pittsburgh, PA 15222",Product Code: NY_CI_FPR_100MAC_NY
,1.888.925.9115,
,www.directenergy.com,
