Account Name,Service Address,City,State,Zip,Utility,Utility Account \#,Rate Class \#
"Pangea Ventures, LLC",617 N CENTRAL AVE BLDG,CHICAGO,IL,60644,Peoples,0608299543-00004,Choice
"Pangea Ventures, LLC",7254 S UNIVERSITY AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-00727,Choice
"Pangea Ventures, LLC",6100 S ARTEIJAN BLDG,CHICAGO,IL,60629,Peoples,0604355805-00004,Choice
"Pangea Ventures, LLC",7653 S LOOMIS BLVD BLDG,CHICAGO,IL,60620,Peoples,0612728512-00002,Choice
"Pangea Ventures, LLC",8001 S MAYST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02651,Choice
"Pangea Ventures, LLC",8312 S INSLESIDE AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02970,Choice
"Pangea Ventures, LLC",2231 E 71ST TEMP STR,CHICAGO,IL,60649,Peoples,0610877223-02637,Choice
"Pangea Ventures, LLC",1216 W 83R0 ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02808,Choice
"Pangea Ventures, LLC",620 E 51ST ST BLDG,CHICAGO,IL,60615,Peoples,0610877223-02120,Choice
"Pangea Ventures, LLC",7801 S ESSEX AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02629,Choice
"Pangea Ventures, LLC",7829 S PHILLIPS AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-05937,Choice
"Pangea Ventures, LLC",1509 S KENNETH AVE BLDG,CHICAGO,IL,60623,Peoples,0609142657-00839,Choice
"Pangea Ventures, LLC",2433 W 63R0 ST STR,CHICAGO,IL,60629,Peoples,0610877223-01930,Choice
"Pangea Ventures, LLC",8259 S MARILAND AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-02642,Choice
"Pangea Ventures, LLC",7400 S YATEL BLVD BLDG,CHICAGO,IL,60649,Peoples,0610877223-02633,Choice
"Pangea Ventures, LLC",10719 S CALUMET AVE BLDG 1,CHICAGO,IL,60628,Peoples,0602247223-00014,Choice
"Pangea Ventures, LLC",3359 W HIRSCH ST BSMT,CHICAGO,IL,60651,Peoples,0610877223-02686,Choice
"Pangea Ventures, LLC",345 E 72ND ST BLDG,CHICAGO,IL,60619,Peoples,0608299543-00011,Choice
"Pangea Ventures, LLC",7751 S LOOMIS BLVD BLDG,CHICAGO,IL,60620,Peoples,0604355805-00005,Choice
"Pangea Ventures, LLC",4720 S DREXEL BLVD BLDG,CHICAGO,IL,60615,Peoples,0610877223-02827,Choice
"Pangea Ventures, LLC",7440 S PHILLIPS BLDG,CHICAGO,IL,60649,Peoples,0610877223-02613,Choice
"Pangea Ventures, LLC",8100 S THRCOP ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-00433,Choice
"Pangea Ventures, LLC",7655 S SANGAMON ST BLDG,CHICAGO,IL,60620,Peoples,0609142657-00001,Choice
"Pangea Ventures, LLC",1616 W 80THST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02549,Choice
"Pangea Ventures, LLC",7944 S PAULNA ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02622,Choice
"Pangea Ventures, LLC",7612 S KINGSTON AVE BLDG,CHICAGO,IL,60649,Peoples,0610877223-02606,Choice
"Pangea Ventures, LLC",900 E 82ND ST BLDG,CHICAGO,IL,60619,Peoples,0610877223-02612,Choice
"Pangea Ventures, LLC",6224 S KINGSTON DR BLDG,CHICAGO,IL,60637,Peoples,0610877223-00461,Choice
"Pangea Ventures, LLC",7120 S WABASH AVE BLDG,CHICAGO,IL,60619,Peoples,0610877223-01075,Choice
"Pangea Ventures, LLC",2826 E 76THPL BLDG,CHICAGO,IL,60649,Peoples,0610877223-02593,Choice
"Pangea Ventures, LLC",1321 W 84THST BLDG,CHICAGO,IL,60620,Peoples,0608299543-00010,Choice
"Pangea Ventures, LLC",7542 S HALSTED ST BLDG,CHICAGO,IL,60620,Peoples,0610877223-02611,Choice
