DESCRIPTION,USAGE UNITS,RATE,CHARGE
Service \& Facility,,,\$34.58
Secondary General,11680 kWh,\$0.004610,\$53.84
Elec Commodity Adj,8860.69 kWh,\$0.027080,\$239.95
Elec Commodity Adj,2819.31 kWh,\$0.026910,\$75.87
GRSA E,11680 kWh,\$0.004200,\$49.06
Distribution Demand,22 kW,\$5.630000,\$123.86
Gen \& Transm Demand,22 kW,\$9.820000,\$216.04
Trans Cost Adj,22 kW,\$0.110000,\$2.42
Demand Side Mgmt Cost,22 kW,\$0.620000,\$13.64
Purch Cap Cost Adj,22 kW,\$1.210000,\$26.62
CACJA,22 kW,- \$0.030000,- \$0.66 CR
Renew. Energy Std Adj,,,\$17.20
GRSA,,,\$24.66
Subtotal,,,\$877.08
Franchise Fee,,$3.00 \%$,\$26.32
Sales Tax,,,\$72.26
Total,,,\$975.66
