428,1293909032,464 GORDON AVE,12,0/16/2016,0/16/2020,0.1579,0.256,0.22,349,475,538,517,445,373,409,397,352,362,405,459,"3,312"
429,5052685038,2714-24 W KITH ST BD,10,0/14/2016,0/14/2020,0.337,0.509,0.38,"7,232","9,255","8,510","2,790",249,251,259,256,238,"2,009","7,679","9,367","48,086"
430,1293709331,470 GORDON AVE,12,0/16/2016,0/16/2020,0.497,0.237,0.36,883,725,802,748,617,475,509,496,443,627,719,859,"7,904"
432,9406325329,8456-98 E FAMPIELO BLDG,10,0/14/2016,0/14/2020,0.3064,0.311,0.31,387,1,302,291,241,262,278,299,284,303,294,340,"3,651"
433,1459685054,14538 COTTAGE GROVE AVE,11,0/15/2016,0/15/2020,0.1008,0.934,4.47,"2,192","2,118","1,996","2,189","1,728","1,699","1,619","1,833","1,761","1,592","1,956","2,010","22,883"
434,9503279312,6358-8 S FAMINOLO AVE,10,0/14/2016,0/14/2020,0.398,0.328,0.41,341,356,"1,118",270,268,211,334,314,257,244,300,286,330,"3,586"
435,1468499033,136 E 155TH ST,10,0/21/2016,0/21/2020,0.7914,0.7914,2.59,"2,061","1,942","2,011","1,808","1,518","1,270","1,262","1,406","1,640","1,151","2,247","2,225","21,551"
436,5068276516,8401-50 S MAPLEWICED,10,0/14/2016,0/14/2020,0.1883,0.202,0.25,326,1,253,275,256,245,276,271,264,252,251,239,275,"3,230"
437,1585104944,7907-5 S.VANO AVE,15,0/21/2016,0/21/2020,0.6153,1.859,4.97,"3,201","3,208","3,396","3,354","3,549","3,379","2,661",773,8,"1,259","2,836","3,392","31,016"
448,1202743330,6200-45 A KANADAA AVE,12,0/23/2016,0/23/2020,0.4067,0.371,0.34,191,151,162,158,141,146,154,172,178,193,187,200,"2,053",2
449,5052639316,8400-50 S ROGANIELL H,10,0/14/2016,0/14/2020,0.3756,0.358,0.21,329,1,292,295,286,281,237,237,239,219,257,250,"2,572",2
449,2980009098,391 FOREST BLV 2,5,0/7/2016,0/7/2020,0,0.32257502,0.00,186,173,169,147,137,123,131,145,145,24,21,22,"1,433",1
450,3811587544,2618-N LARAME AVE 381,12,0/16/2016,0/16/2020,0.6164,0.146,0.10,259,240,247,219,191,133,133,145,150,267,304,301,"2,587",2
446,1202743330,12507-2 ASALAND AVE UNIT B,9,0/13/2016,0/13/2020,0.212,0.308,0.25,553,532,429,365,347,271,407,444,454,505,524,458,"5,330",
447,2586026540,"805 E ORDUE, SLL",11,0/23/2016,0/23/2020,0.4067,0.371,0.34,191,151,162,158,141,146,154,172,178,193,187,200,"2,053",2
448,5011576553,2618-N LARAME AVE BD,12,0/16/2016,0/16/2020,0.277,0.302,0.21,329,291,293,295,264,237,237,239,219,257,250,244,"3,223",
449,2980009098,391 FOREST BLV 2,5,0/7/2016,0/7/2020,0,0.32257502,0.00,186,173,169,147,137,123,131,145,145,24,21,22,"1,433",1
450,3811587544,2618-N LARAME AVE 381,12,0/16/2016,0/16/2020,0.6164,0.505,1.02,67,8,14,8,2,15,150,272,297,168,77,54,"1,053","1,205"
451,3420026543,310 NARTAHED AVE BLDG,11,0/15/2016,0/15/2020,0.5231,0.5231,0.59,533,494,479,441,489,419,424,460,442,510,516,517,"5,726",
452,5957304031,1633 HARBOA AVE,12,0/16/2016,0/16/2020,0.6476,0.05,0.05,62,59,63,53,61,47,58,62,52,66,68,67,728,
453,3881078578,2618-N LARAME AVE,20,0/28/2016,0/28/2020,0.2731,0.144,0.18,137,124,142,139,142,156,174,157,133,138,124,137,"1,705",
460,0709431090,1683 E7AYE ST,12,0/16/2016,0/16/2020,1.791,0.622,0.61,"1,254","1,060","1,079","1,098","1,037",887,868,976,896,950,931,"1,192","12,227",
461,5223446129,12-18 N LICLAME AVE,4,0/6/2016,0/6/2020,0.6249,2.626,3.08,"3,975","3,853","3,612","3,449","3,540",902,918,933,894,"2,248","2,760","2,933","28,113",
462,0709449358,1685 E7AYE ST PB,12,0/16/2016,0/16/2020,0.8929,0.308,0.37,872,725,753,743,639,485,505,511,461,606,630,720,"7,849",
463,5223584080,107-13 N LARAME AVE,5,0/7/2016,0/7/2020,1.0774,0.921,0.90,"1,612","1,441",852,707,758,661,670,517,418,475,547,"1,885","10,941",
464,0709378559,5658-9 KUINIA,7,0/6/2016,0/6/2020,0.1417,0.056,0.06,150,146,103,91,111,92,72,62,62,73,89,"1,132","1,192",
465,530711111,5511 W COROGRAH PL,10,0/14/2016,0/14/2020,0.3347,0.3347,0.00,27,41,52,46,34,10,2,2,2,2,2,2,221,
466,5187163338,5800 S AFFESANI AVE UNIT BII,8,0/10/2016,0/10/2020,0.387,0.16,0.16,683,"1,158","1,714",856,360,219,236,269,296,374,533,572,"7,327",
467,5307484541,50-62 N LARAME AVE,8,0/6/2016,0/6/2020,1.3187,0.466,0.52,375,426,359,843,206,208,103,239,253,293,436,749,"4,490",
468,6925831037,7358 S BLACKETONE AVE,12,0/16/2016,0/16/2020,0.3451,0.411,0.41,418,3,352,326,245,241,298,318,314,398,355,385,"3,857",
469,5475296541,5509-17 WASHINGTON BD,10,0/14/2016,0/14/2020,00.3592,11.077,11.64,"10,559","13,642","14,296","9,222","5,791","5,335","8,036","6,237","5,027","1,535","8,036","6,237","5,027",
470,505940547,6954 W E CAUJAKT AVE,11,0/15/2016,0/15/2020,1.4230,1.786,1.54,"4,939","3,969","3,448","2,765","1,889","1,151",818,749,667,550,"1,853","4,512","27,162",
471,5475755540,W COROGRAH PL,10,0/14/2016,0/14/2020,0.7082,1.7082,0.78,"1,152","1,188","1,026",894,953,702,715,798,764,918,"1,131","1,030","11,269",
472,742825549,345-56 E 724D ST,12,0/17/2016,0/17/2020,0.5042,0.313,0.66,244,1,167,147,190,239,304,265,280,301,293,357,"2,817",
473,5559032526,230-44 N PHA,5,0/7/2016,0/7/2020,2.908,1.271,1.42,"3,609","3,015","2,028","1,860","1,149","1,525","1,063",806,803,"1,455","1,822","1,710","20,847",
474,5285156526,7356-68 S DOAGHESTER AVE,12,0/16/2016,0/16/2020,0.2785,0.456,0.46,"3,545","5,355","5,381","3,469","3,451",672,391,346,432,"1,188","2,096","3,254","28,408",
475,5638171039,721 S ST LDUS AVE,2,0/2/2016,0/2/2020,0.2256,1.8,2.34,"3,595","3,426","3,289","3,041","2,667","2,142","1,295","1,164","1,171","1,619","2,415","3,117","28,941",
476,5271461056,7056 W EBERHART AVE,11,0/15/2016,0/15/2020,0.3111,0.22,0.24,849,221,197,157,190,188,127,142,172,194,993,"1,702","5,128",
