,CHARGE DESCRIPTION,USAGE,UNIT,RATE,CHARGE
Gas Delivery,Customer Charge,,,,\$284.15
Ameren Illinois,Distribution Delivery Charge,780.00,Therms,@ \$ 0.13430000,\$104.75
GDS-3 Intermediate Gas,Qualifying Infrastructure Plant Surchg,\$463.90,,10.150000\%,\$47.09
Delivery Space Heat,Invested Capital Tax Adjustment,\$463.90,,0.530000\%,\$2.46
,,,,Gas Delivery,\$438.45
Gas Supply <br> Rider T,Rider TBS Capacity Charge,"4,440.00",Therms,@ \$ 0.01813000,\$80.50
,,,,Gas Supply,\$80.50
Taxes and Other Fees,Energy Efficiency Programs Charge,780.00,Therms,@ \$ 0.01405000,\$10.96
,Gas Environmental Adjustment,780.00,Therms,@ \$ 0.01192690,\$9.30
,Illinois State Gas Use Tax,,,,\$18.72
,Illinois State Commerce Commission Tax,,,,\$0.54
,Cahokia Municipal Gress Revenue,,,,\$27.77
,,,,Total Tax Related Fees,\$67.29
