,Generation \& Transmission Charges for Nov 10-Dec 10 State Sales Tax,9.98
,Gross Receipts Tax,9.80
,ENERGY CHARGE: 1488@.0088 PER KWH,13.11
,ENERGY CHARGE: 1488@..011 PER KWH,$-16.41$
,ENERGY CHARGE: 1488@.0004 PER KWH,0.52
,ENERGY CHARGE: 132@.0168 PER KWH,2.21
,ENERGY CHARGE: 80@.0488 PER KWH,3.91
,ENERGY CHARGE: 1488@.0593 PER KWH,88.24
,ENERGY CHARGE: 1568@.0001 PER KWH,0.16
,ENERGY CHARGE: 1488@.0032 PER KWH,4.70
,ENERGY CHARGE: 1568@.0006 PER KWH,0.91
,CAPACITY CHARGE,24.48
,TRANSMISSION CHARGE,34.63
,Total Freepoint Energy Solutions LLC Charges,\$176.24
