02/01/24,02/29/24,"2,204 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
03/01/24,03/31/24,"2,015 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
04/01/24,04/30/24,"1,800 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
05/01/24,05/31/24,"1,612 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
06/01/24,06/30/24,"1,320 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
07/01/24,08/31/24,"1,302 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
09/01/24,09/30/24,"1,350 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
10/01/24,10/31/24,"1,736 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
11/01/24,11/30/24,"1,980 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
12/01/24,12/31/24,"2,232 mmbtu Monthly",Nymex plus <br> 1.1463 USD,SOUTHERN STAR CENTRAL GAS PUST. JOSEPH,N/A,N/A
