Monthly service charge,$\$ 370.81$
Charges for delivering electric to you:,
Annual Demand 100.100 kW x \$3.785315,$\$ 378.91$
The highest Measured Demand in any time period in the current month.,
Summer Demand 99.700 kW x \$9.005517,$\$ 897.85$
The Measured Demand (excluding off-peak) in each billing month of June through September.,
"kWh - On-peak 25,132 kWh x \$0.005620",$\$ 141.24$
"Energy consumed between 8am-10pm, Monday to Friday.",
"kWh - Off-peak 33,751 kWh x \$0.005620",$\$ 189.68$
Energy consumed outside peak hours.,
"Societal Benefits 58,883 kWh x \$0.008684",$\$ 511.32$
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,"$\$ 2,489.81$"
Total electric charges,"\$2,489.81"
