,Meter Number,Usage,Amount
Service For: 4950 CHERRY AVE BLDG 3,,,
"Service Agreement ID: 9398507758 HSE MTR BOILER \#1,3,4",,,
PG\&E Electric Delivery Charges,1006954090,658.813300 kWh,$\$ 203.32$
Electric Adjustments,,,$-55.34$
Service Agreement ID: 9397269060,,,
SAN JOSE CLEAN ENERGY Electric Generation,,658.813300 kWh,\$98.12
Total,,,\$246.10
Service For: 4950 CHERRY AVE BLDG 6,,,
Service Agreement ID: 9398507638 UTILITY ROOM,,,
PG\&E Gas Delivery Charges,62482849,60.000000 Therm,\$96.54
Service Agreement ID: 9398507513,,,
COMMERCIAL ENERGY Gas Procurement Charges,,60.000000 Therm,\$49.01
Total,,,\$145.55
Service For: 4950 CHERRY AVE BLDG 7,,,
Service Agreement ID: 9398507361,,,
PG\&E Electric Delivery Charges,1010071003,866.584500 kWh,\$267.55
Electric Adjustments,,,$-55.34$
Service Agreement ID: 9394721548,,,
SAN JOSE CLEAN ENERGY Electric Generation,,866.584500 kWh,\$125.61
Total,,,\$337.82
Service For: 4950 CHERRY AVE BLDG 17,,,
Service Agreement ID: 9398507993 REC RM,,,
PG\&E Electric Delivery Charges,1008832278,"1,879.893000 kWh",\$576.77
Electric Adjustments,,,$-55.34$
Service Agreement ID: 9394360912,,,
SAN JOSE CLEAN ENERGY Electric Generation,,"1,879.893000 kWh",\$281.52
Total,,,\$802.95
Service For: 4950 CHERRY AVE BLDG 13,,,
Service Agreement ID: 9398507450 HSE MTR-LTS-BLDG 13,,,
PG\&E Gas Delivery Charges,62020197,73.000000 Therm,\$115.65
Service Agreement ID: 9399688280,,,
COMMERCIAL ENERGY Gas Procurement Charges,,73.000000 Therm,\$59.64
Total,,,\$175.29
Service For: 4950 CHERRY AVE,,,
"Service Agreement ID: 9398507704 REC RM BOIL \#2,14,16",,,
PG\&E Electric Delivery Charges,1008832279,"2,720.230000 kWh",\$823.71
Electric Adjustments,,,$-55.34$
