15,3825581932,15 N 8th Street,Belleville,IL,62220,AMILEIP <br> S,AMEREN,12/8/2021
16,0630049007,1790 Frank Scott Pkway,Shiloh,IL,62269,AMILEIP <br> S,AMEREN,11/15/2021
17,3778453000,1790 Frank Scott Pkwy E,Shiloh,IL,62269,AMILEIP <br> S,AMEREN,11/16/2021
18,4170444010,8401 US Hwy 50,Lebanon,IL,62254,AMILEIP <br> S,AMEREN,11/17/2021
19,8118072657,435 W Holmes St,Chester,IL,62233,AMILEIP <br> S,AMEREN,11/16/2021
20,2340358417,1920 Carlyle Ave,Belleville,IL,62221,AMILEIP <br> S,AMEREN,11/12/2021
21,0191006010,2604 W Main St,Marion,IL,62959,AMILEIP <br> S,AMEREN,11/17/2021
22,2792298412,701 Main Street,Belleville,IL,62220,AMILEIP <br> S,AMEREN,11/5/2021
23,2432521138,1 Howellman Dr,Duquoin,IL,62832,AMILEIP <br> S,AMEREN,11/19/2021
24,3475009814,1219 S West St,Olney,IL,62450,AMILEIP <br> S,AMEREN,11/16/2021
25,4959628014,702 Vandalia St,Collinsville,IL,62234,AMILEIP <br> S,AMEREN,11/19/2021
26,2422002217,100 E Plaza Dr,Carterville,IL,62819,AMILEIP <br> S,AMEREN,11/22/2021
27,8980001291,500 W Main Street,Salem,IL,62881,AMILEIP <br> S,AMEREN,11/19/2021
28,3152001229,110 S Williams St,Murphysboro,IL,62966,AMILEIP <br> S,AMEREN,11/18/2021
29,6600006719,6112 N Illinois St,Fairview Hts,IL,62208,AMILEIP <br> S,AMEREN,11/22/2021
30,8567086258,415 S Macoupin St,Gillespie,IL,62033,AMILEIP <br> S,AMEREN,11/12/2021
31,0234002316,501 S 5th St,Carrolton,IL,62016,AMILEIP <br> S,AMEREN,11/19/2021
