Total Charges for Electricity,,,,,
Supplier,,,,,
NEXTERA ENERGY,,,,,
Service Reference: 063963009,,,,,
Supply,304.40kWh X $\$ 0.07822$,,,,$\$ 23.81$
Service Reference: 251083008,,,,,
Supply,53.00kWh X $\$ 0.07822$,,,,$\$ 4.15$
Service Reference: 258863002,,,,,
Supply,706.80kWh X $\$ 0.07822$,,,,$\$ 55.29$
Service Reference: 498273009,,,,,
Supply,30165.20kWh X $\$ 0.07822$,,,,"$\$ 2,359.52$"
Service Reference: 595243008,,,,,
Supply,103.20kWh X $\$ 0.07822$,,,,$\$ 8.07$
Service Reference: 636193002,,,,,
Supply,37.20kWh X $\$ 0.07822$,,,,$\$ 2.91$
Service Reference: 659234000,,,,,
Supply,49.10kWh X $\$ 0.07822$,,,,$\$ 3.84$
