Monthly service charge,$\$ 370.81$
Charges for delivering electric to you:,
Annual Demand <br> The highest Measured Demand in any time period in the current month.,$\$ 11.800 \mathrm{~kW} \times \$ 4.467992$
kWh - On-peak,"62,791 kWh $\times \$ 0.006029$"
"Energy consumed between 8am-10pm, Monday to Friday.",$\$ 378.57$
kWh - Off-peak,"87,766 kWh $\times \$ 0.006029$"
Energy consumed outside peak hours:,$\$ 529.14$
Societal Benefits,"150,557 kWh $\times \$ 0.010413$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",$\$ 1.567 .75$
Total electric delivery charges,"$\$ 4,239.39$"
Supply charges,
BGS Capacity,
Generation,396.087 kW x $\$ 3.400213$
Transmission,360.977 kW x $\$ 12.618089$
Cost of electric supplied by PSE\&G:,
On-peak,
For the first,"27,172 kWh $\times \$ 0.065894$"
For the next,"35,619 kWh $\times \$ 0.069513$"
Off-peak,
For the first,"41,288 kWh $\times \$ 0.058670$"
For the next,"46,478 kWh $\times \$ 0.062289$"
