www.nationalgridus.com,,,,
CUSTOMER SERVICE,,,,
1-800-830-9002,,,,
"Monday-Febre, 8AM-9PM",,,,
GAS EMERGENCIES,,,,
1-800-480-0048,,,,
24 HlodeCite - 7 Days-Week,,,,
(Dose not replace 811 emergency,,,,
medical services),,,,
PARA ESPANOL,,,,
1-800-930-9003,,,,
CORRESPONDENCE ADDRESS,,,,
Accounts Processing KEDLI,,,,
One MetroTech Center,,,,
"Brooklyn, NY 11201-3948",,,,
PAYMENT ADDRESS,,,,
PO Box 11791,,,,
"Newark, NJ 07101-4791",,,,
DATE BILL BROED,,,,
"Feb 22, 2019",,,,
Gas Usage History,,,,
Month,Theme,Month,Theme,
Feb 18,2007,Sep 18,2008,
Mar 18,1980,Oct 18,2009,
Apr 18,2508,Nov 18,1984,
May 18,2156,Dec 18,2204,
Jun 18,2237,Jan 19,2587,
Jul 18,2288,Feb 19,2340,
Aug 18,1849,,,
