www.nationalgridus.com,,,,
CUSTOMER BERVICE,,,,
1-800-939-6003,,,,
"Monday-Febty, $A$ MA\&PM",,,,
GAS EMERGENCIES,,,,
1-800-490-0048,,,,
(of Hours/Day - 7 Days),,,,
(Dose not replace 211 emergency,,,,
medical services),,,,
PARA ESPANOL,,,,
1-800-930-8003,,,,
CORRESPONDENCE ADDRESS,,,,
Accounts Processing KEDLI,,,,
One MetroTech Center,,,,
"Brooklyn, NY 11201-3948",,,,
PAYMENT ADDRESS,,,,
PO Box 11791,,,,
"Newark, NJ 07101-9991",,,,
DATE BILL ISSUED,,,,
"Feb 20, 2019",,,,
GAS USAGE HISTORY (Therma),,,,
Daily Ann,Feb 19,Feb 19,,
Theme,0.1,0.1,,
Cost,\$ 0.72,\$ 0.72,,
