Monthly service charge,$\$ 4.84$
Charges for delivering electric to you:,
Annual Demand,$18.900 \mathrm{~kW} \times \$ 3.956085$
The highest Measured Demand in any time period in the current month.,
kWh charges,"$9,972 \mathrm{kWh} \times \$ 0.012615$"
Societal Benefits,"$9,972 \mathrm{kWh} \times \$ 0.009621$"
Total electric delivery charges,$\$ 301.35$
Supply charges,
BGS Capacity,
Generation,$35.889 \mathrm{~kW} \times \$ 5.586670$
Transmission,$32.909 \mathrm{~kW} \times \$ 12.210338$
Cost of electric supplied by PSE\&G:,
Charges,"$9,972 \mathrm{kWh} \times \$ 0.054416$"
Total electric supply charges,"$\$ 1,144.97$"
Total electric charges,"\$1,446.32"
