CUSTOMER DISCLOSURE STATEMENT,
Price,[Fixed Price of $\$ 0.06924 / \mathrm{kWh}$ ]
Bill Type,Consolidated Bill
How Price is Determined,"Fixed Price includes the components as described in the table below. The Fixed Price does not include any applicable taxes (other than the gross-receipts tax, if applicable), which shall be passed-through to the customer. Components listed as ""pass through"" in the table below shall be billed using market-based prices or estimates thereof."
COMPONENT,Treatment
Energy,Fixed
Unforced Capacity,Fixed
Ancillary Services,Fixed
"Transmission (Network Integration Transmission Service, TECs)",Fixed
Clean Energy - Mandatory RECs (Not applicable),Not Applicable
Auction Revenue Rights Credits,Fixed
Renewable Energy - voluntary,Not Selected
"Please be aware that SmartestEnergy US LLC reserves the right to pass through costs/credits in accordance with Section 20 - Regulatory or Other Changes. <br> Upon mutual agreement, Customer has the ability to blend the current rate with a future rate as part of an Agreement extension throughout the term of this Agreement.",
"PJM has suspended its Unforced Capacity auction for the delivery period beginning June 2025, creating material uncertainty in PJM's capacity price and auction rules from that point forward. Once PJM finalizes these charges, SmartestEnergy US LLC reserves the right to pass through its actual unforced capacity costs/credits beginning June 2025. If its costs change, SmartestEnergy US LLC will have the right to change the prices for components listed in the table above, except for the ""Energy"" component, beginning 36 months from the execution date of this Agreement.",
Start Date,"Supply shall start from first meter read date after the EDC processes your enrollment with SmartestEnergy US LLC (the ""Start Date""), which is expected to be during the month of November 2024."
