COMED,7740219011,"9 S AUSTIN BLVD, CHICAGO, IL 606443710",02/17/17,02/14/18,$\$ 0.04969$
COMED,7740292047,"13 S AUSTIN BLVD\# BD, CHICAGO, IL 606443710",02/17/17,02/14/18,$\$ 0.04969$
COMED,7766145114,"7701 S MAY ST\# 3, CHICAGO, IL 606202938",02/21/17,02/19/18,$\$ 0.04969$
COMED,7768011022,"7939 S DOBSON AVE\# 41, CHICAGO, IL 606194453",02/22/17,02/20/18,$\$ 0.04969$
COMED,7768039093,"7953 S DOBSON AVE\# 59, CHICAGO, IL 606194409",02/22/17,02/20/18,$\$ 0.04969$
COMED,7768374042,"8235 S ELLIS AVEUNIT H, CHICAGO, IL 606195501",02/22/17,02/20/18,$\$ 0.04969$
COMED,7768412056,"8251 S ELLIS AVE, CHICAGO, IL 606195553",02/22/17,02/20/18,$\$ 0.04969$
COMED,7768497040,"8127 S ELLIS AVE\# 37, CHICAGO, IL 606194381",02/22/17,02/20/18,$\$ 0.04969$
COMED,7768607073,"8001 S ELLIS AVE, CHICAGO, IL 606198125",02/22/17,02/20/18,$\$ 0.04969$
COMED,7774494019,"3009 E 90TH ST, CHICAGO, IL 606173219",02/24/17,02/22/18,$\$ 0.04969$
COMED,7850610022,"7751 S LOOMIS BLVD, CHICAGO, IL 606203751",02/21/17,02/19/18,$\$ 0.04969$
COMED,7852010039,"7949 S5 S ELLIS AVE, BLDG, CHICAGO, IL 60619",02/22/17,02/20/18,$\$ 0.04969$
COMED,7852183073,"8000 S ELLIS AVE, CHICAGO, IL 606194323",02/22/17,02/20/18,$\$ 0.04969$
COMED,7852350056,"8051 S INGLESIDE AVE\# 55, BD, CHICAGO, IL 606194230",02/22/17,02/20/18,$\$ 0.04969$
COMED,7852592045,"8157 S INGLESIDE AVEUNIT BD, CHICAGO, IL 606195232",02/22/17,02/20/18,$\$ 0.04969$
COMED,7852662079,"8238 S ELLIS AVE\# 46, CHICAGO, IL 606195510",02/22/17,02/20/18,$\$ 0.04969$
COMED,7852747086,"8253 S INGLESIDE AVEUNIT BD, CHICAGO, IL 606195651",02/22/17,02/20/18,$\$ 0.04969$
COMED,7858377015,"8954 S COMMERCIAL AVE, CHICAGO, IL 606173233",02/24/17,02/22/18,$\$ 0.04969$
COMED,7858534010,"9043 S ESCANABA AVE\# BD, CHICAGO, IL 606174219",02/24/17,02/22/18,$\$ 0.04969$
COMED,7911681016,"1030 E 47TH ST, CHICAGO, IL 606534567",02/07/17,02/04/18,$\$ 0.04969$
COMED,7934079032,"7754 S LOOMIS BLVD, CHICAGO, IL 606203750",02/21/17,02/19/18,$\$ 0.04969$
COMED,7934571068,"7701 S ASHLAND AVE, CHICAGO, IL 606204250",02/21/17,02/19/18,$\$ 0.04969$
COMED,7934675052,"1514 W 77TH ST\# BD, CHICAGO, IL 606204225",02/21/17,02/19/18,$\$ 0.04969$
COMED,7934807045,"1615 W 77TH ST\# 21, CHICAGO, IL 606204202",02/21/17,02/19/18,$\$ 0.04969$
COMED,7936036053,"8200 S INGLESIDE AVE\# 4, BD, CHICAGO, IL 606195427",02/22/17,02/20/18,$\$ 0.04969$
COMED,7936084059,"8222 S INGLESIDE AVE\# 26, CHICAGO, IL 606195474",02/22/17,02/20/18,$\$ 0.04969$
COMED,7936101028,"8228 S INGLESIDE AVE\# 32, CHICAGO, IL 606195402",02/22/17,02/20/18,$\$ 0.04969$
