UDC,UDC Account Number,Service Address,Start Date,End Date,Energy Price Non TOU (\$/kWh)
COMED,0031211088,"13907 S CLARK ST, RIVERDALE, IL 608272081",02/16/17,02/13/18,$\$ 0.04969$
COMED,0031664052,"204 W 138TH ST, RIVERDALE, IL 608271600",02/16/17,02/13/18,$\$ 0.04969$
COMED,0034354035,"7400 S RHODES AVE APT 2, CHICAGO, IL 606191833",02/17/17,02/14/18,$\$ 0.04969$
COMED,0048012086,"7823 S EUCLID AVE, CHICAGO, IL 606494625",02/20/17,02/15/18,$\$ 0.04969$
COMED,0099016216,"379 FOREST BLVD, PARK FOREST, IL 604662101",02/08/17,02/05/18,$\$ 0.04969$
COMED,0211155127,"22 HEMLOCK ST, PARK FOREST, IL 604662154",02/08/17,02/05/18,$\$ 0.04969$
COMED,0292531081,"308 E 147TH ST, HARVEY, IL 604261933",02/22/17,02/20/18,$\$ 0.04969$
COMED,0471054127,"1224 S TROY ST, BLDG, CHICAGO, IL 606231837",02/03/17,01/31/18,$\$ 0.04969$
COMED,0615057264,"32024 E 48TH ST, BROADVIEW, IL 60155",02/08/17,02/05/18,$\$ 0.04969$
COMED,0705369044,"1575 S STATE ST, CHICAGO, IL 606052804",02/17/17,02/14/18,$\$ 0.04969$
COMED,0705415069,"1677 STATE ST \# BD, CALLIMET CITY, IL 604091856",02/17/17,02/14/18,$\$ 0.04969$
COMED,0705431090,"1683 STATE ST, CALLIMET CITY, IL 604091857",02/17/17,02/14/18,$\$ 0.04969$
COMED,0705445058,"1685 STATE ST \# PB, CALLIMET CITY, IL 604091858",02/17/17,02/14/18,$\$ 0.04969$
COMED,0789323020,"1501 STATE ST, CALLIMET CITY, IL 604091846",02/17/17,02/14/18,$\$ 0.04969$
COMED,0823132065,"97 HEMLOCK ST, PARK FOREST, IL 604662115",02/08/17,02/05/18,$\$ 0.04969$
COMED,0878128075,"410 E 107TH ST, CHICAGO, IL 606283730",02/28/17,02/26/18,$\$ 0.04969$
COMED,0941492093,"365 FOREST BLVD, PARK FOREST, IL 604662101",02/08/17,02/05/18,$\$ 0.04969$
COMED,1003033217,"708 S KARLOV AVE, CHICAGO, IL 606243570",02/03/17,01/31/18,$\$ 0.04969$
COMED,1023045231,"29 LENNS RD, PARK FOREST, IL 604662120",02/08/17,02/05/18,$\$ 0.04969$
