Customer Charge,,,,\$45.36,
Meter Charge,,,,\$11.39,
Distribution Delivery kW Charge,,74.70 kW,@,\$7.00800000,\$523.50
Transformation Charge,,161.70 kW,@,$\$ .59000000$,\$95.40
Total Delivery Service Amount,,,,,\$675.65
Electric Power Supply - Constellation NewEnergy 844.636.3749 www. constellation.com,,,,,
Refer to supply contract for details,,,,,Service From 04/15/2020 to 05/14/2020
Fixed Price Transactions,"33,308.47 kWh",,,"\$1,665.42",
Market Charges,1.00,,,\$0.00,
Total Supplier Charge,,,,,"\$1,665.42"
Taxes,,,,Service From,04/15/2020
Customer Generation Charge,,,,\$15.25,
Clean Energy Assistance Charge,"33,308.00 kWh",,,\$8.00181000,
Renewable Energy Adjustment,"33,308.00 kWh",,,\$00181000,
EDT Cost Recovery,"33,308.00 kWh",,,\$00121680,
Electric Environmental Adjustment,"33,308.00 kWh",,,\$00098630,
Energy Efficiency Programs Charge,"33,308.00 kWh",,,\$37.30,
Cahokia Municipal Tax,,,,\$92.72,
Illinois State Electricity Excise Tax,,,,\$106.47,
Total Tax Related Charges,,,,,\$444.03
