Customer Service,1-866-DOM-HELP (1-866-366-4357)
Previous Balance,"2,147.58"
Payment Received,"2,147.58CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2) 05/06-06/05,
Distribution Service,
Basic Customer Charge,19.89
Distribution Service kWh,1.14
Dist Serv Demand Charge,152.78
All Applicable Distribution Riders,22.63
Electricity Supply Svc (ESS),
Electricity Supply kWh,497.34
Demand Charge,96.00
Transmission Demand Chg,94.61
Fuel,408.24
All Other Applicable ESS Riders,200.43
Sales and Use Surcharge,6.96
State/Local Consumption Tax,16.03
CHESTERFIELD Utility Tax,26.32
Base Rate Case Credit,167.18CR
Total Current Charges,"1,375.19"
Total Account Balance,"1,375.19"
"View payment options, request service changes and enroll in eBill at www.dominionenergy.com, search: Manage Your Account",
