,CHARGE DESCRIPTION,,,,
Gas Delivery,Customer Charge,,,,
Ameren Illinois,Distribution Delivery Charge,700.00,Therm,,\$ 0.11688000
GDS-2 Small Gas Delivery,Volume Balancing Adjustment,700.00,Therm,,\$ 0.04500000
Service Space Heat,Qualifying Infrastructure Plant Surchg,$\$ 160.40$,,,\$8.68
,,,,,\$199.23
Gas Supply <br> Ameren Illinois,Purchased Gas Adjustment Charge,700.00,Therm,,\$ 0.40668288
Taxes and Other Fees,Gas Energy Efficiency Cost Recovery,700.00,Therm,,\$ 0.00112000
,Gas Environmental Adjustment,700.00,Therm,,\$ 0.02950390
,Illinois State Gas Revenue Tax,,,,
,Illinois State Commerce Commission Tax,,,,
,Edwardsville Municipal Gross Revenue,,,,
,Total Tax Related Fees,,,,\$55.33
