,CHARGE DESCRIPTION,,,,
Gas Delivery,Customer Charge,,,,
Ameren Illinois,Qualifying Infrastructure Plant Surchg,\$43.00,@,4.640000\%,$\$ 2.00$
GOS-2 5m Gas Delivery Space Heat - < 600,,,,,
,,,,Gas Delivery,\$50.30
Taxes and Other Fees,Illinois State Commerce Commission Tax,,,,$\$ 0.05$
,Centralia-Marion Co Municipal Gross Revenue,,,,$\$ 2.59$
,,,Total Tax Related Fees,,$\$ 2.64$
,,,Total Gas Charges,,$\$ 52.94$
Additional Charges,,,,,
,DESCRIP,,,,CHARGE
,Deposit Amount,,,,$\$ 83.33$
,,,Total Additional Charges,,$\$ 83.33$
