,CHARGE DESCRIPTION,USAGE,UNIT,RATE,CHARGE
Gas Delivery,Customer Charge,,,,\$77.23
Ameren Illinois,Distribution Delivery Charge,77.91,Therms,ㅇ,\$ 9.11
GDS-2 Small Gas Delivery,Volume Balancing Adjustment,77.91,Therms,ㅇ,\$ 3.51
Service,Qualifying Infrastructure Plant Surchg,\$81.68,,4.210000\%,\$3.44
,,,,Gas Delivery,\$93.29
Gas Supply <br> Ameren Illinois,Purchased Gas Adjustment Charge,77.91,Therms,ㅇ,\$ 33.07
,,,,Gas Supply,\$33.07
Taxes and Other Fees,Gas Energy Efficiency Cost Recovery,77.91,Therms,ㅇ,\$ 0.09
,Gas Environmental Adjustment,77.91,Therms,ㅇ,\$ 2.10
,Illinois State Gas Revenue Tax,,,,\$1.87
,Illinois State Commerce Commission Tax,,,,\$0.13
,Greenville Municipal Gross Revenue,,,,\$6.61
,Greenville Excess Franchise Chg,,,,\$0.15
,,,,Total Tax Related Fees,\$10.77
