,CHARGE DESCRIPTION,,,,
Gas Delivery,Customer Charge,,,,\%77.23
Ameren Illinois,Distribution Delivery Charge,470.79,Therm,@,$\$ 55.03$
GDS-2 Small Gas Delivery,Volume Balancing Adjustment,470.79,Therm,@,$\$ 21.19$
Service,Qualifying Infrastructure Plant Surchg,\$130.68,,@,4.210000\%
,,,,Gas Delivery,\$158.95
Gas Supply <br> Ameren Illinois,Purchased Gas Adjustment Charge,470.79,Therm,@,\$ 0.42550938
,,,,Gas Supply,\$200.33
Taxes and Other Fees,Gas Energy Efficiency Cost Recovery,470.79,Therm,@,$\$ 0.00112000$
,Gas Environmental Adjustment,470.79,Therm,@,$\$ 0.02701160$
,Illinois State Gas Revenue Tax,,,,
,Illinois State Commerce Commission Tax,,,,
