Svc Addr. STREET LIGHTS,,,,,
BERLIN BT 03037,,,,,
Rate 117 Serv Rel. 747373003,,,,Bill Cycle: 20,
Service From: 12/01/23 - 01/02/24,,,,32 Days,
OTHER WATTASE-IP SUDIUM,,,,,
Number of Devices,,,,Unmetered Usage,
0015,,,,272 kWh,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
0,265,0,221,190,172,0
Jul,Aug,Sep,Oct,Nov,Dec,
166,0,208,239,255,271,
Svc Addr. STREET LIGHTS,,,,,
BERLIN BT 03037,,,,,
Rate 117 Serv Rel. 702583000,,,,Bill Cycle: 20,
Service From: 12/01/23 - 01/02/24,,,,32 Days,
SUDIUM LUMEN HP SUDIUM,,,,,
Number of Devices,,,,Unmetered Usage,
0001,,,,209 kWh,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
209,204,172,172,146,132,118
Jul,Aug,Sep,Oct,Nov,Dec,
127,142,158,183,195,209,
Svc Addr. 0 GETTIGIII DR,,,,,
BERLIN BT 03080,,,,,
Rate 117 Serv Rel. 792073002,,,,Bill Cycle: 20,
Service From: 12/01/23 - 01/02/24,,,,32 Days,
OTHER WATTASE-NON-NUEL EQUIP,,,,,
Number of Devices,,,,Unmetered Usage,
0002,,,,27 kWh,
Monthly kWh Use,,,,,
Dec,Jan,Feb,Mar,Apr,May,Jun
0,26,0,21,18,17,0
Jul,Aug,Sep,Oct,Nov,Dec,
16,0,20,23,25,26,
