Monthly service charge,$\$ 370.81$
Charges for delivering electric to you:,
Annual Demand,"138,800 kW $\times \$ 4,943156$"
The highest Measured Demand in any time period in the current month.,\$686.11
"Summer Demand 135,500 kW $\times \$ 9,149742$","\$1,239.79"
The Measured Demand (excluding off-peak) in each billing month of June through September.,
"kWh - On-peak 29,487 kWh $\times \$ 0.008613$",\$253.97
"Energy consumed between 8am-10pm, Monday to Friday.",
"kWh - Off-peak 32,457 kWh $\times \$ 0.008613$",\$279.55
Energy consumed outside peak hours.,
"Societal Benefits 61,944 kWh $\times \$ 0.010413$",\$645.02
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,"$\$ 3,475.25$"
Supply charges,
BGS Capacity,
"Generation 126.025 kW $\times \$ 1,740924$",\$219.40
"Transmission 116.274 kW $\times \$ 13,293600$","\$1,545.70"
Cost of electric supplied by PSE\&G:,
On-peak,
"For the first 8,817 kWh $\times \$ 0.081651$",$\$ 719.92$
"For the next 20,670 kWh $\times \$ 0.072966$","\$1,508.21"
Off-peak,
"For the first 9,398 kWh $\times \$ 0.064605$",$\$ 607.16$
"For the next 23,059 kWh $\times \$ 0.055920$","\$1,289.46"
Total electric supply charges,"$\$ 5,889.85$"
