Service from 6/30/2017 to 8/1/2017 - 32 Days,Commercial Hourly - 400 kW to 1000 kW,,,
,Electricity Supply Services,,,"\$10,867.29"
Electricity Supply Charge,"225,932 kWh",,,"7,557.59"
Transmission Services Charge,"225,932 kWh",X,0.00844,"1,906.07"
Capacity Charge,439.81 kW,X,4.69477,"2,064.81"
Purchased Electricity Adjustment,,,,-910.51
Misc Procurement Component Chg,"225,932 kWh",X,0.00110,248.53
Delivery Services - ComEd,,,,"\$3,517.24"
Customer Charge,,,,96.35
Standard Metering Charge,,,,30.19
Distribution Facilities Charge,381.54 kW,X,7.05000,"2,689.86"
IL Electricity Distribution Charge,"225,932 kWh",X,0.00116,262.08
Meter Lease,,,,80.48
Nonstandard Facilities Charge,,,,378.26
Taxes and Other,,,,"\$2,917.61"
Environmental Cost Recovery Adj,"225,932 kWh",X,0.00005,11.30
Renewable Portfolio Standard,"225,932 kWh",X,0.00094,212.38
Zero Emission Standard,"225,932 kWh",X,0.00195,440.57
Franchise Cost,,,,717.69
State Tax,,,,685.24
Municipal Tax,,,,850.43
Total Current Charges,,,,"\$17,302.14"
"Thank you for your payment of \$15,156.69 on July 17, 2017",,,,
Total Amount Due,,,,"\$17,302.14"
(continued on next page,,,,
