,CHARGE DESCRIPTION,,USAGE,UNIT,RATE,CHARGE
Gas Delivery,Customer Charge,,,,,\$77.23
Ameren Illinois,Distribution Delivery Charge,439.63,Therm,,\$ 0.11688000,\$51.38
GDS-2 Small Gas Delivery,Volume Balancing Adjustment,439.63,Therm,,\$ 0.04500000,\$19.78
Service Space Heat,Qualifying Infrastructure Plant Surchg,\$127.39,,,4.640000\%,\$5.91
,,,,,Gas Delivery,\$154.30
Gas Supply <br> Ameren Illinois,Purchased Gas Adjustment Charge,439.63,Therm,,\$ 0.41623792,\$182.99
,,,,,Gas Supply,\$182.99
Taxes and Other Fees,Gas Energy Efficiency Cost Recovery,439.63,Therm,,\$ 0.00112000,\$-0.49
,Gas Environmental Adjustment,439.63,Therm,,\$ 0.02631450,\$11.57
,Illinois State Gas Revenue Tax,,,,,\$10.55
,Illinois State Commerce Commission Tax,,,,,\$0.35
,Edwardsville Municipal Gross Revenue,,,,,\$12.56
,,,,Total Tax Related Fees,,\$34.54
,,,Total Gas Charges,,\$371.83,
CONVENIENCE,USUALLY COMES AT A,,,,,
"COST, BUT NOT WITH",,,,,,
OUR FREE PAPERLESS,,,,,,
BILLING SERVICE.,,,,,,
