Service Reference: 014704004,,
Transmission,80.60kWh X $\$ 0.02052$,\$1.65
Local Delivery,,\$17.12
Revenue Decoupling,80.60kWh X $\$ 0.00195$,\$0.16
CTA,80.60kWh X $\$ 0.00038$,\$0.03
FMCC Charge,80.60kWh X $\$ 0.02842$,\$2.29
Comb Public Benefit Chrg,80.60kWh X $\$ 0.01996$,\$1.61
Local Delivery Improvements,80.60kWh X $\$ 0.03521$,\$2.84
(DISTRIBUTION RATE: 116),,
Service Reference: 289034003,,
Allocated for 12/02/24 to 12/31/24,,
Transmission,81.50kWh X $\$ 0.02052$,\$1.67
Local Delivery,,\$14.53
Revenue Decoupling,81.50kWh X $\$ 0.00195$,\$0.16
CTA,81.50kWh X $\$ 0.00038$,\$0.03
FMCC Charge,81.50kWh X $\$ 0.02842$,\$2.32
Comb Public Benefit Chrg,81.50kWh X $\$ 0.01996$,\$1.63
Local Delivery Improvements,81.50kWh X $\$ 0.03521$,\$2.87
Allocated for 12/31/24 to 01/02/25,,
Transmission,5.60kWh X $\$ 0.02052$,\$0.11
Local Delivery,,\$0.91
Revenue Decoupling,5.60kWh X $\$ 0.00195$,\$0.01
FMCC Charge,5.60kWh X $\$ 0.02842$,\$0.16
Comb Public Benefit Chrg,5.60kWh X $\$ 0.01996$,\$0.11
Local Delivery Improvements,5.60kWh X $\$ 0.03521$,\$0.20
(DISTRIBUTION RATE: 116),,
Service Reference: 616034006,,
Transmission,48.70kWh X $\$ 0.02052$,\$1.00
Local Delivery,,\$12.97
Revenue Decoupling,48.70kWh X $\$ 0.00195$,\$0.09
CTA,48.70kWh X $\$ 0.00038$,\$0.02
FMCC Charge,48.70kWh X $\$ 0.02842$,\$1.38
Comb Public Benefit Chrg,48.70kWh X $\$ 0.01996$,\$0.97
Local Delivery Improvements,48.70kWh X $\$ 0.03521$,\$1.71
Allocated for 12/31/24 to 01/02/25,,
Transmission,3.40kWh X $\$ 0.02052$,\$0.07
Local Delivery,,\$0.81
Revenue Decoupling,3.40kWh X $\$ 0.00195$,\$0.01
FMCC Charge,3.40kWh X $\$ 0.02842$,\$0.10
