Tier 1 Allowance,43.00000,Therm
Tier 1 Usage,25.806452,Therm
Gas Mobile Home Park Surcharge $\$ 0.00000$,,$\$ 61.74$
Gas Procurement Credit ${ }^{1}$,0.00,
Franchise Fee Surcharge,-11.41,
Gas PPP Surcharge (\$0.11051 /Therm),0.01,
San Jose Utility Users' Tax (5.000\%),2.85,
San Jose Franchise Surcharge,0.15,
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,90.30000,Therm
Tier 1 Usage,54.193548,Therm
Gas Mobile Home Park Surcharge $\$ 0.00000$,$\$ 2.30397$,0.00
Gas Procurement Credit ${ }^{1}$,,0.05
Franchise Fee Surcharge,,6.00
Gas PPP Surcharge (\$0.11051 /Therm),,5.28
San Jose Utility Users' Tax (5.000\%),,0.32
San Jose Franchise Surcharge,,
