Service Agreement ID: 0133228505,Meter Number,Usage,Amount
SAN JOSE CLEAN ENERGY Electric Generation,,126.000000 kWh,$\$ 0.00$
Total,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 26,,,
Service Agreement ID: 0136152382,,,
PG\&E Gas Delivery Charges,27336474,139.000000 Therm,\$310.76
Service Agreement ID: 0135561875,,,
COMMERCIAL ENERGY Gas Procurement Charges,,139.000000 Therm,\$114.13
Total,,,\$424.89
Service For: 4500 THE WOODS DR BLDG 21,,,
Service Agreement ID: 0137772780,,,
PG\&E Electric Delivery Charges,1007269354,103.000000 kWh,$\$ 12.79$
Electric Adjustments,,,-55.34
Service Agreement ID: 0136577382,,,
SAN JOSE CLEAN ENERGY Electric Generation,,103.000000 kWh,$\$ 0.00$
Total,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 28,,,
Service Agreement ID: 0132832461,,,
PG\&E Gas Delivery Charges,62180495,70.000000 Therm,\$151.49
Service Agreement ID: 0135870503,,,
COMMERCIAL ENERGY Gas Procurement Charges,,70.000000 Therm,\$57.48
Total,,,\$208.97
Service For: 4500 THE WOODS DR BLDG 15,,,
Service Agreement ID: 0134560257,,,
PG\&E Electric Delivery Charges,1009178352,109.000000 kWh,$\$ 12.79$
Electric Adjustments,,,-55.34
Service Agreement ID: 0139521162,,,
SAN JOSE CLEAN ENERGY Electric Generation,,109.000000 kWh,$\$ 0.00$
Total,,,- $\$ 42.55$
Service For: 4500 THE WOODS DR BLDG 25,,,
Service Agreement ID: 0133112685,,,
PG\&E Gas Delivery Charges,61909487,122.000000 Therm,\$264.08
Service Agreement ID: 0133696288,,,
COMMERCIAL ENERGY Gas Procurement Charges,,122.000000 Therm,\$100.17
Total,,,\$364.25
Service For: 4500 THE WOODS DR BLDG 21,,,
Service Agreement ID: 0134323915,,,
PG\&E Gas Delivery Charges,61468721,117.000000 Therm,\$253.25
