Tier 1 Allowance,60.20000,Therm
Tier 1 Usage,45.000000,Therms @ \$2.39227
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-19.90$
Franchise Fee Surcharge,,0.02
Gas PPP Surcharge (\$0.11051 /Therm),,4.98
San Jose Utility Users' Tax (5.000\%),,4.39
San Jose Franchise Surcharge,,0.26
10/01/2024 - 10/20/2024,,
Tier 1 Allowance,120.40000,Therm
Tier 1 Usage,90.000000,Therms @ \$2.30397
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-31.86$
Franchise Fee Surcharge,,0.08
Gas PPP Surcharge (\$0.11051 /Therm),,9.94
San Jose Utility Users' Tax (5.000\%),,8.78
San Jose Franchise Surcharge,,0.53
