Tier 1 Allowance,43.00000,Therm
Tier 1 Usage,38.387097,Therms @ \$2.39227 \$91.83
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-16.98$
Franchise Fee Surcharge,,0.01
Gas PPP Surcharge (\$0.11051 /Therm),,4.24
San Jose Utility Users' Tax (5.000\%),,3.74
San Jose Franchise Surcharge,,0.22
10/01/2024 - 10/21/2024,,
Tier 1 Allowance,90.30000,Therm
Tier 1 Usage,80.612903,Therms @ \$2.30397 \$185.73
Gas Mobile Home Park Surcharge \$0.00000,,0.00
Gas Procurement Credit ${ }^{1}$,,$-28.54$
Franchise Fee Surcharge,,0.07
Gas PPP Surcharge (\$0.11051 /Therm),,8.91
San Jose Utility Users' Tax (5.000\%),,7.86
San Jose Franchise Surcharge,,0.47
