Generation - Off Peak - Winter,851.289000,kWh,(1) \$0.12629,\$107.51
Generation - Off Peak - Summer,"1,624.498000",kWh,(1) \$0.12771,207.46
Generation - On Peak - Winter,286.154000,kWh,(1) \$0.14340,41.03
Generation - Part Peak - Summer,492.531000,kWh,(1) \$0.14978,73.77
Generation - On Peak - Summer,689.966000,kWh,(1) $\$ 0.20200$,139.37
,,Net Charges,569.14,
Local Utility Users Tax,,,,28.46
Energy Commission Surcharge,,,,1.18
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
Total San Jose Clean Energy Electric Generation Charges,,,,\$598.78
