Customer Service,1-866-DOM-HELP (1-866-366-4357)
Previous Balance,"2,079.20"
Payment Received,0.00
Balance Forward,"2,079.20"
Non-Residential Service (Schedule GS-2),04/11-05/13
Distribution Service,
Basic Customer Charge,21.22
Distribution Service kWh,2.48
Dist Serv Demand Charge,312.36
All Applicable Distribution Riders,49.43
Electricity Supply Svc (ESS),"1,039.27"
Electricity Supply kWh,63.10
,193.42
Transmission Demand Chg,892.08
Fuel,431.67
All Other Applicable ESS Riders,15.20
Sales and Use Surcharge,33.42
State/Local Consumption Tax,20.00
WILLIAMSBURG Utility Tax,30.56
Late Payment Charge,"3,104.21"
Total Current Charges,"5,183.41"
Total Account Balance,"5,183.41"
View payment options. request service changes and enroll in eBill at www.dominionenergy.com. search: Manage Your Account,
