CUSTOMER DISCLOSURE STATEMENT,
Price,[Fixed Price of $\$ 0.13436 / \mathrm{kWh}$ ]
Bill Type,Consolidated Bill
How Price is Determined,"The Price above includes New Jersey Sales and Use Tax. <br> Price components are set in accordance with the table below. Components listed ""set for contract duration"", shall be billed at the Price above throughout the contract term, unless changed in accordance with Section 20 - Regulatory of Other Changes. Components listed as ""pass through"" shall be billed using market-based prices or estimates thereof."
COMPONENT,Treatment
Energy,"Set for Term, included in the price"
Unforced Capacity,"Set for Term, included in the price"
Ancillary Services,"Set for Term, included in the price"
"Transmission (Network Integration <br> Transmission Service, TECs)","Set for Term, included in the price"
"Clean Energy - Mandatory RECs (Class 1, <br> Class 2, Solar)","Set for Term, included in the price"
Auction Revenue Rights Credits,"Set for Term, included in the price"
Renewable Energy - voluntary,Not Selected
"Please be aware that SmartestEnergy US LLC reserves the right to pass through costs/credits in accordance with Section 20- Regulatory or Other Changes. <br> Upon mutual agreement, Customer has the ability to blend the current rate with a future rate as part of an Agreement extension throughout the term of this Agreement.",
"PJM has suspended its Unforced Capacity auction for the delivery period beginning June 2025, creating material uncertainty in PJM's capacity price and auction rules from that point forward. Once PJM finalizes these charges, SmartestEnergy US LLC reserves the right to pass through its actual unforced capacity",
