Network charges,,,,,,
Charge description,Start,End,Quantity,Price,VAT rate,Net total
Distribution Use of System (DUos),,,,,,
Capacity charge based on 500 kVA,01/11/2021,30/11/2021,30 days,"2,69000 p/kVA",STD,£403.50
Fixed Charge,01/11/2021,30/11/2021,30 days,"20,39000 p/kVA",STD,£5.72
Reactive power charge,01/11/2021,30/11/2021,2323.3 kWh,"0,21500 p/kWh",STD,£5.00
Consumption - energy @ meter,,,,,,
*Amber charge,01/11/2021,30/11/2021,82348.8 kWh,"1,06700 p/kWh",STD,£880.30
*Green charge,01/11/2021,30/11/2021,37760.8 kWh,"0,48200 p/kWh",STD,£162.00
*Red charge,01/11/2021,30/11/2021,16132.1 kWh,"6,81700 p/kWh",STD,"£1,035.56"
*Refer to the appropriate distribution company RUos charging Statement for the unit rate time bands.,,,,,,
Total DUos charge,,,,,"£2,508.48",
