Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"23,200 kW x $\$ 5.303017$"
The highest Measured Demand in any time period in the current month.,$\$ 123.03$
Summer Demand,"23,200 kW x $\$ 10.037500$"
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"7,564 kWh x $\$ 0.011148$"
Societal Benefits,"7,564 kWh x $\$ 0.010412$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",$\$ 78.76$
Total electric delivery charges,$\$ 524.02$
Supply charges,
BGS Capacity,
Generation,"14,474 kW x $\$ 1.741053$"
Transmission,"13,073 kW x $\$ 13.293812$"
Cost of electric supplied by PSE\&G:,
Charges,
For the first,"2,269 kWh x $\$ 0.073248$"
For the next,"5,295 kWh x $\$ 0.064563$"
Total electric supply charges,$\$ 707.05$
