Customer Service,1-866-DOM-HELP (1-866-366-4357)
Previous Balance,"1,655.27"
Payment Received,"1,655.27 CR"
Balance Forward,0.00
Non-Residential Service (Schedule GS-2) 04/05-05/07,
Distribution Service,
Basic Customer Charge,21.22
Distribution Service kWh,1.73
Dist Serv Demand Charge,220.69
All Applicable Distribution Riders,34.59
Electricity Supply Svc (ESS),
Electricity Supply kWh,731.90
Demand Charge,44.58
Transmission Demand Chg,136.66
Fuel,624.24
All Other Applicable ESS Riders,302.60
Sales and Use Surcharge,10.64
State/Local Consumption Tax,23.80
SUFFOLK Utility Tax,180.02
Total Current Charges,"2,332.67"
Total Account Balance,"2,332.67"
"View payment options, request service changes and enroll in eBill at www.dominionenergy.com, search: Manage Your Account",
