Tier 1 Allowance,206.40000,,
Tier 1 Usage,115.483871,,
Gas Mobile Home Park Surcharge \$0.00000,,,0.00
Gas Procurement Credit ${ }^{1}$,,,$-51.08$
Franchise Fee Surcharge,,,0.04
Gas PPP Surcharge (\$0.11051 /Therm),,,12.76
San Jose Utility Users' Tax (5.000\%),,,11.26
San Jose Franchise Surcharge,,,0.68
10/01/2024 - 10/21/2024,,,
Tier 1 Allowance,433.44000,,
Tier 1 Usage,242.516129,,
Gas Mobile Home Park Surcharge \$0.00000,,,0.00
Gas Procurement Credit ${ }^{1}$,,,$-85.86$
Franchise Fee Surcharge,,,0.22
Gas PPP Surcharge (\$0.11051 /Therm),,,26.79
San Jose Utility Users' Tax (5.000\%),,,23.64
San Jose Franchise Surcharge,,,1.42
Total PG\&E Gas Delivery Charges,,\$774.89,
