Tier 1 Allowance,223.60000,,
Tier 1 Usage,155.806452,,
Gas Mobile Home Park Surcharge \$0.00000,,,0.00
Gas Procurement Credit ${ }^{1}$,,,$-68.92$
Franchise Fee Surcharge,,,0.06
Gas PPP Surcharge (\$0.11051 /Therm),,,17.21
San Jose Utility Users' Tax (5.000\%),,,15.19
San Jose Franchise Surcharge,,,0.91
10/01/2024 - 10/21/2024,,,
Tier 1 Allowance,469.56000,,
Tier 1 Usage,327.193548,,
Gas Mobile Home Park Surcharge \$0.00000,,,0.00
Gas Procurement Credit ${ }^{1}$,,,$-115.83$
Franchise Fee Surcharge,,,0.30
Gas PPP Surcharge (\$0.11051 /Therm),,,36.16
San Jose Utility Users' Tax (5.000\%),,,31.90
San Jose Franchise Surcharge,,,1.91
Total PG\&E Gas Delivery Charges,,"\$1,045.46",
