Atty Geni consultant exp adj,$11610.00 \mathrm{kWh} \times \$ 0.00002$,$\$ 0.23$
Storm recovery adjustment,$11610.00 \mathrm{kWh} \times \$ 0.00218$,$\$ 25.31$
Exogenous Cost Adjustment,$11610.00 \mathrm{kWh} \times \$ 0.00070$,$\$ 8.13$
Revenue Decoupling Adj,$11610.00 \mathrm{kWh} \times \$ 0.00212$,$\$ 24.61$
Lng-Trm Rnwbl Contr Adj,$11610.00 \mathrm{kWh} \times \$ 0.00306$,$-\$ 35.53$
Vegetation Management,$11610.00 \mathrm{kWh} \times \$ 0.00089$,$\$ 10.33$
Solar Expansion Charge,$11610.00 \mathrm{kWh} \times \$ 0.00027$,$-\$ 3.13$
Grid Modernization Charge,$11610.00 \mathrm{kWh} \times \$ 0.00130$,$\$ 15.09$
Tax Act Credit,$11610.00 \mathrm{kWh} \times \$ 0.00113$,$-\$ 13.12$
Distributed Solar Charge,$11610.00 \mathrm{kWh} \times \$ 0.00327$,$\$ 37.96$
Advanced Meter Infrastructure,$11610.00 \mathrm{kWh} \times \$ 0.00222$,$\$ 25.77$
Subtotal Delivery Services,,$\$ 958.37$
Total Cost of Electricity,,"$\$ 3,572.36$"
