Generation - Off Peak - Summer,68.000000,kWh,@ \$0.11810,\$8.03
Generation - Off Peak - Winter,132.000000,kWh,@ \$0.14507,19.15
Generation - On Peak - Winter,11.000000,kWh,@ \$0.17767,1.95
Generation - On Peak - Summer,5.000000,kWh,@ \$0.21565,1.08
,,Net Charges,30.21,
Local Utility Users Tax,,,,1.51
Energy Commission Surcharge,,,,0.06
Your NEM Balance Owed is $\$ 0.00$.,,,,
Your cumulative kWh relevant period year-to-date: 466 kWh,,,,
Your service: GreenSource - SJCE's standard service with more renewable energy,,,,
"For more detail on your San Jose Clean Energy bill, call us at 833-432-2454",,,,
