Service Agreement ID: 3598409471,Meter Number,Usage,Amount
COMMERCIAL ENERGY Gas Procurement Charges,,435.000000 Therm,\$357.18
Total,,,"\$1,434.84"
Service For: 4300 THE WOODS DR BLDG 5,,,
Service Agreement ID: 3593390075,,,
PG\&E Electric Delivery Charges,1009115701,54.000000 kWh,\$44.38
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3592682445,,,
SAN JOSE CLEAN ENERGY Electric Generation,,54.000000 kWh,\$0.00
Total,,,- $\$ 10.96$
Service For: 4300 THE WOODS DR BLDG 6,,,
Service Agreement ID: 3591309775,,,
PG\&E Electric Delivery Charges,1009115644,46.000000 kWh,\$12.79
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3595677441,,,
SAN JOSE CLEAN ENERGY Electric Generation,,46.000000 kWh,\$0.00
Total,,,- $\$ 42.55$
Service For: 4300 THE WOODS DR BLDG 7,,,
Service Agreement ID: 3594921199,,,
PG\&E Gas Delivery Charges,62386470,777.000000 Therm,"\$1,697.71"
Service Agreement ID: 3597456877,,,
COMMERCIAL ENERGY Gas Procurement Charges,,777.000000 Therm,\$638.00
Total,,,"\$2,335.71"
Service For: 4300 THE WOODS DR BLDG 8,,,
Service Agreement ID: 3590884975,,,
PG\&E Electric Delivery Charges,1009114970,85.000000 kWh,\$12.79
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3596288560,,,
SAN JOSE CLEAN ENERGY Electric Generation,,85.000000 kWh,\$0.00
Total,,,- $\$ 42.55$
Service For: 4300 THE WOODS DR BLDG 9,,,
Service Agreement ID: 3592689542,,,
PG\&E Electric Delivery Charges,1009115666,60.000000 kWh,\$12.79
Electric Adjustments,,,$-55.34$
Service Agreement ID: 3590054934,,,
SAN JOSE CLEAN ENERGY Electric Generation,,60.000000 kWh,\$8.90
Total,,,- $\$ 33.65$
