Service Agreement ID: 3598130536,Meter Number,Usage,Amount
SAN JOSE CLEAN ENERGY Electric Generation,,621.000000 kWh,\$92.00
Total,,,\$49.45
Service For: 4300 THE WOODS DR BLDG 13,,,
Service Agreement ID: 3597542826,,,
PG&E Electric Delivery Charges,1009114936,216.000000 kWh,\$12.79
Electric Adjustments,,,-55.34
Service Agreement ID: 3599132512,,,
SAN JOSE CLEAN ENERGY Electric Generation,,216.000000 kWh,\$31.78
Total,,,- $\$ 10.77$
Service For: 4300 THE WOODS DR BLDG 14,,,
Service Agreement ID: 3596104033,,,
PG&E Gas Delivery Charges,62180514,510.000000 Therm,"\$1,147.29"
Service Agreement ID: 3599387508,,,
COMMERCIAL ENERGY Gas Procurement Charges,,510.000000 Therm,\$418.77
Total,,,"\$1,566.06"
Service For: 4300 THE WOODS DR BLDG 16,,,
Service Agreement ID: 3591980714,,,
PG&E Electric Delivery Charges,1009116076,206.000000 kWh,\$12.79
Electric Adjustments,,,-55.34
Service Agreement ID: 3590817345,,,
SAN JOSE CLEAN ENERGY Electric Generation,,206.000000 kWh,\$30.17
Total,,,- $\$ 12.38$
Service For: 4300 THE WOODS DR BLDG 17,,,
Service Agreement ID: 3591727013,,,
PG&E Electric Delivery Charges,1009114214,28.000000 kWh,\$12.79
Electric Adjustments,,,-55.34
Service Agreement ID: 3593376128,,,
SAN JOSE CLEAN ENERGY Electric Generation,,28.000000 kWh,\$0.00
Total,,,- $\$ 42.55$
Service For: 4300 THE WOODS DR BLDG 18,,,
Service Agreement ID: 3598845840,,,
PG&E Gas Delivery Charges,62179091,589.000000 Therm,"\$1,274.90"
Service Agreement ID: 3596448789,,,
COMMERCIAL ENERGY Gas Procurement Charges,,589.000000 Therm,\$483.63
Total,,,"\$1,758.53"
